"Time","System Demand","RMP Interconnect Demand","Generation Into System","Olmsted Generation","UMPA Generation"
12:15 AM,60.7793730692269,51.0293733962808,-9.74999967294608,-9.74999967294608,0
12:30 AM,59.4632793277307,49.7132796547847,-9.74999967294608,-9.74999967294608,0
12:45 AM,57.7974199929489,48.0474203200028,-9.74999967294608,-9.74999967294608,0
01:00 AM,56.0364825412168,46.2964828679353,-9.73999967328152,-9.73999967328152,0
01:15 AM,55.0482794412643,45.3082797679828,-9.73999967328152,-9.73999967328152,0
01:30 AM,54.0902325805794,44.3402329076334,-9.74999967294608,-9.74999967294608,0
01:45 AM,53.3782013425827,43.6082016703075,-9.7699996722752,-9.7699996722752,0
02:00 AM,52.4360138720273,42.6860141990812,-9.74999967294608,-9.74999967294608,0
02:15 AM,52.1923419916998,42.4323423190891,-9.75999967261064,-9.75999967261064,0
02:30 AM,51.2579670187221,41.5179673454405,-9.73999967328152,-9.73999967328152,0
02:45 AM,50.6581232791223,40.9181236058408,-9.73999967328152,-9.73999967328152,0
03:00 AM,50.445388908558,40.7053892352765,-9.73999967328152,-9.73999967328152,0
03:15 AM,50.410467029869,40.6704673565875,-9.73999967328152,-9.73999967328152,0
03:30 AM,50.4732014054649,40.7132017328543,-9.75999967261064,-9.75999967261064,0
03:45 AM,50.6848420249858,40.9248423523751,-9.75999967261064,-9.75999967261064,0
04:00 AM,49.8641389366963,40.1141392637502,-9.74999967294608,-9.74999967294608,0
04:15 AM,50.331638938296,40.5816392653499,-9.74999967294608,-9.74999967294608,0
04:30 AM,50.4843733108729,40.7443736375914,-9.73999967328152,-9.73999967328152,0
04:45 AM,50.9220295537529,41.1720298808068,-9.74999967294608,-9.74999967294608,0
05:00 AM,51.5184357999485,41.7684361270024,-9.74999967294608,-9.74999967294608,0
05:15 AM,52.6803107825765,42.9303111096304,-9.74999967294608,-9.74999967294608,0
05:30 AM,53.416717024076,43.6767173507945,-9.73999967328152,-9.73999967328152,0
05:45 AM,54.3582013788359,44.6182017055544,-9.73999967328152,-9.73999967328152,0
06:00 AM,54.2136701390845,44.473670465803,-9.73999967328152,-9.73999967328152,0
06:15 AM,55.473904491793,45.7339048185115,-9.73999967328152,-9.73999967328152,0
06:30 AM,55.6160919891837,45.8660923162376,-9.74999967294608,-9.74999967294608,0
06:45 AM,56.6901544769175,46.9401548039714,-9.74999967294608,-9.74999967294608,0
07:00 AM,58.2731231965005,48.5231235235544,-9.74999967294608,-9.74999967294608,0
07:15 AM,59.864060653935,50.1440609799826,-9.7199996739524,-9.7199996739524,0
07:30 AM,60.7621075166326,51.0221078433511,-9.73999967328152,-9.73999967328152,0
07:45 AM,63.1681230668657,53.4181233939197,-9.74999967294608,-9.74999967294608,0
08:00 AM,65.4591386555196,55.7191389822381,-9.73999967328152,-9.73999967328152,0
08:15 AM,66.4430449059985,56.7130452323815,-9.72999967361696,-9.72999967361696,0
08:30 AM,68.8649198463611,59.1249201730795,-9.73999967328152,-9.73999967328152,0
08:45 AM,69.7349979718779,60.0049982982609,-9.72999967361696,-9.72999967361696,0
09:00 AM,70.8128885882636,61.0928889143112,-9.7199996739524,-9.7199996739524,0
09:15 AM,72.0496854482389,62.3296857742865,-9.7199996739524,-9.7199996739524,0
09:30 AM,71.9993729693683,62.4293732903843,-9.569999678984,-9.569999678984,0
09:45 AM,73.134294811159,63.5342951331813,-9.59999967797768,-9.59999967797768,0
10:00 AM,74.1752322870427,64.5652326094005,-9.60999967764224,-9.60999967764224,0
10:15 AM,75.4698416429186,65.8698419649409,-9.59999967797768,-9.59999967797768,0
10:30 AM,75.902966641351,66.2929669637088,-9.60999967764224,-9.60999967764224,0
10:45 AM,77.1518728483776,67.5018731720771,-9.64999967630048,-9.64999967630048,0
11:00 AM,77.641872831941,68.0118731549697,-9.62999967697136,-9.62999967697136,0
11:15 AM,77.8464822243798,68.2064825477439,-9.63999967663592,-9.63999967663592,0
11:30 AM,78.0541384749749,68.4041387986744,-9.64999967630048,-9.64999967630048,0
11:45 AM,78.235935335776,68.6059356588046,-9.62999967697136,-9.62999967697136,0
12:00 PM,77.796482226057,68.1664825490857,-9.62999967697136,-9.62999967697136,0
12:15 PM,78.4746853364081,68.8346856597722,-9.63999967663592,-9.63999967663592,0
12:30 PM,79.0090603228034,69.3690606461675,-9.63999967663592,-9.63999967663592,0
12:45 PM,78.6168728337988,68.9668731574983,-9.64999967630048,-9.64999967630048,0
01:00 PM,79.2803103050638,69.6403106284279,-9.63999967663592,-9.63999967663592,0
01:15 PM,79.5474196781246,69.9074200014886,-9.63999967663592,-9.63999967663592,0
